Author,Comment,PublishedAt
@apiphehe5548,Titip jejak,2023-12-17T07:24:52Z
@turikah_77,Janji setia + kisah nabi Muhammad dan para sahabatnya.,2023-12-16T06:06:32Z
@SanggarMustika,Dengar lagu ini aja auto teringat sama Rasulullah SAW 😢😢😢😢,2023-12-15T21:08:13Z
@vianaak8063,Mau merem otakku nyuruh puter ni lagu🗿,2023-12-15T15:48:00Z
@Infinix-rf2ri,Cwok slalu pke akal bkn pikiran apkgi prasaan itu sebabnya banyak wanita yg jdi korban cinta,2023-12-15T13:51:46Z
@AlexanderIsak-zp6rg,Janji Setia Hanya Omong Kosong,2023-12-14T05:21:00Z
@nurtianasihah3769,Ke inget Rasulullah kalo denger lagu ini🥰,2023-12-14T03:22:22Z
@triwahyuni7534,Merindukan seseorang yang tak pernah dijumpai. Allohumma sholi'ala sayyidina Muhammad 😭,2023-12-13T20:10:49Z
@kristikristanti9416,Love mama selen❤,2023-12-13T14:27:23Z
@hifa123,"Di tiktok banyak yg pake sound ini untuk cerita Rasulullaah SAW. Tiap diulang dan didenger lagu ini pasti nangis keinget Rasulullaaah. Jauh secara fisik, dekat dalam hati. Sembari terus berharap ldr kita semua bersama beliau benar2 akan berakhir pertemuan terindah di SurgaNya. Aaamiiin..
Allahumma sholli 'alaa Muhammad 🥹❤️",2023-12-13T10:25:27Z
@faizhalluthfy6626,janji setia + muhammad SAW,2023-12-13T05:29:18Z
@naufalrahadifadhillah6858,"Terima kasih kak tiara, lagunya relate banget pas di lirik "" tahukah dirimu betapa diriku merindukan hadirmu ada disini"" sama nabi Muhammad, suka nangis saya denger lagu ini soalnya pasti keinget nabi 😭❤️🙏",2023-12-13T05:00:51Z
@Dniswraa_,Favorit bgtt,2023-12-12T22:02:03Z
@dudigunawan6024,Buat kamu nihhh...@rini marini,2023-12-12T12:04:35Z
@rinaldyal959,"Setiap dengar lagu ini pasti nangis walaupun di depan umum padahal saya cwo,, apalagi pas di lirik andai saja kubisa genggam tangan mu...karna dulu ada cwe cinta banget sama saya (dalam konteks kurang cantik) dan saya sempat menjalani hubungan dengan dia dan dia saya tinggalkan demi wanita cantik..sumpah gada wanita sebaik dia..buat para cwo klo udah ngeliat cwe sayang banget fix jangan dilepas..bosan itu manusiawi tapi jangan sampai dilepas",2023-12-10T17:09:40Z
@user-cz1gw5vc8p,Janji kita berdua,2023-12-10T15:36:34Z
@jeniku,Lirik per lirik nya sangat indah dan bermakna kerinduan mendalam pda seseorang😢,2023-12-10T14:32:27Z
@yuniapertiwi321,"Sumpah kesini gara""gw belum bisa move on sama kalian berdua😢🥺😭",2023-12-10T03:16:10Z
@sandimalarangga,Tiara dia udh gabakalan ada lagi di dunia ini dia udh ingkari janji dia sndri,2023-12-09T17:49:27Z
@user-bu7qt8mw8o,.,2023-12-09T01:56:39Z
@DuriKepa21,Bridgenya sih juara banget,2023-12-08T20:17:44Z
@aestheticvibe-sf7ng,"Bisa yuk 100jt diyoutube,lagu ini masterpiece banget diantara lagu tiara yang lain,kaya indah,enak, sedih jadi satu,pokoknya lagu ini akan selalu dilist pertama playlist music favorit saya❤",2023-12-08T06:08:46Z
@missirani,Kangen dia. Bahagia ya di sana G.A.P.,2023-12-08T03:44:29Z
@mkfsignature2503,wahhh terngiang2 di telinga bcground music kisah nabi dan sahabat,2023-12-07T16:57:37Z
@kristikristanti9416,Favorit song❤,2023-12-07T14:51:03Z
@21-maylenihasna92,bagus bagt suaranya😍,2023-12-07T06:48:17Z
@DiDikempotchannel.2019,Mendalam dan Indah Banget Lagu Ini🥰🥰🥰,2023-12-07T01:35:20Z
@MikanyaAbish,"60.067.030 x ditonton (23:27) wib
06""12""2023
597 rb like
89 rb komen
2,44 JT subscriber",2023-12-06T16:29:32Z
@Yacen.81_84,60 jt views yeayy,2023-12-06T14:46:15Z
@danielguiao6211,his different 😢🥺,2023-12-06T11:09:07Z
@evadamayanti5978,"Titi aku nyari cwo yg ku temui di virtual namanya Bagas 21 ngawi, saat ini dia lagi kerja di jakarta jadi surveyor.aku lost kontak gegara akun tele ku gabisa di buka dan kita ga mutual sosmed lainnya 🥺🥺aku harap Bagas yg aku maksud melihat komen ku ini karna dia suka dengerin lagu janji setia🥺bagas Hope you read this 🥺",2023-12-06T05:56:24Z
@Rioutama664,Views nya balapan sama Usai. Anyway.. Tiara Andini amazing,2023-12-06T04:05:43Z
@dandyyyoyo,jangan lupa solawat,2023-12-06T02:39:33Z
@NanaAgustina179,Happy 60 jt❤,2023-12-05T18:43:39Z
@Yacen.81_84,"BUAT MOOTIARA YANG KATANYA MAU BOOM VOTE MALAM MULAI DARI SEKARANG YA KALAU KALIAN NGEBOOM NUA DIDETIK-DETIK TERAKHIR TAKUT APLIKASINYA EROR DAN VOTE KALIAN KESISA INI AJA MAU NGEVOTE UDAH SUKA EROR PLEASE VOTE SEKARANG YA GAS TERUS VOTENYA JANGAN MAU KALAH TINGGAL BEBERAPA JAM LAGI HARUS IKUT ANDIL SEMUA YA 
SEMANGAT MOOTIARA BERAPAPUN VOTE KALIAN ITU UDAH SANGAT SANGAT MEMBANTU JADI LANGSUNG MELUNCUR KE APLIKASI LANGIT MUSIK SEKARANG",2023-12-05T12:09:01Z
@azisfirdaus5795,p,2023-12-05T11:24:02Z
@novafitriyani9885,Lagu tiara andini janji setia + kisan Nabi Muhammmad. 😢😢😢 triple combo😭😭,2023-12-04T11:22:12Z
@user-tl4se8pm3w,Lagu janji setia menyatu dengan gambaran rindu kepada Nabi Muhammad SAW 😢,2023-12-04T10:02:29Z
@sukrin_ali,Komentar ini dibuat 4 Des 2023❤❤❤,2023-12-04T09:45:04Z
@gilang19official54,Janji setia + Kisah Nabi Muhammad shallallahu alaihi wasallam❤❤❤,2023-12-04T08:01:20Z
@nabilafairuz6907,"dear Tiara, ga ada paksaan di hati ini untuk mencintai lagu ini, sebagaiman lagu ini ngingetin aku dengan kisah-kisah rasulullah dan sahabatnya, dan ngingetin betapa rindunya kami dengan Beliau, makasih Tiara sudah menghadirkan lagu ini, semoga kamu selalu dituntun di jalanNya ya Ti,, 😊",2023-12-04T03:51:53Z
@hotelpermatagombong2206,Gercepin 60 jt yok,2023-12-03T14:35:20Z
@mayanurhalisa7960,Kenapa ya tiap denger lagu ini bawaannya pengen nangis,2023-12-03T06:54:45Z
@IGustiAyuPutuIntanUdayani,dear my angle babies up there! Mommy miss you  ❤,2023-12-03T03:54:40Z
@sky77451,Roman Picisan: warisan tak ternilai adl kesetiaan,2023-12-03T02:05:53Z
@user-wd7lo8rd6l,"Terima Kasih kak sudah membuat lagu ini, Saya jadi nangis merindukan Rasulullah SAW😭😭",2023-12-02T16:57:34Z
@arifot3714,Bahkan setelah dia meninggal masih ada yg tega memfitnahnya 😢😢😢😢,2023-12-02T14:46:37Z
@muhammadtahrim9626,Siapa aja yg dengerin lagu ini karna fyp rosulullah,2023-12-02T12:25:20Z
@achmadnizar8830,"apakah kalian sudah vote titi di langit musik hari ini? yuk semangat vote, tinggal beberapa hari lagi, utamakan yang female singer of the year gais!",2023-12-02T04:05:50Z
@kinariantv3107,Cerita cinta yy universal 🥰,2023-12-01T18:16:30Z
@dnxrtzmjsxx,"Jika dirimu tidak mampu menunaikan janji maka jangan sembarang mengucapkan janji, karena janji adalah hutang dan bisa ditagih di hari perhitungan amal. Jika tidak bersungguh2 lebih baik jangan berjanji dan jika berjanji maka harus segera menunaikannya agar tidak menjadi golongan orang2 munafik",2023-12-01T15:00:39Z
@abangpenebak,Kisah Rasulullah SAW + Janji setia = Nangis bangettt,2023-12-01T12:25:12Z
@harrytanus5428,Denger lagu ini kaya rindu bgt sama sosok nabi Muhammad SAW. Efek sound tiktok,2023-12-01T11:39:38Z
@iisdaniindriani8290,Ya Rasulullah aku rindu padamu ketika mendengar lagu ini😢,2023-12-01T08:13:10Z
@colorfullulalilo,Ingat Rasululloh SAW ❤❤❤❤,2023-12-01T07:41:36Z
@putribanten6934,"Ingat Rasulullah SAW..😭 ya Allah jadikan kami layak menjadi umat nabi Muhammad.. Allahummashollialasaidina muhammad, waala alisaidina muhammad😭",2023-12-01T01:03:53Z
@user-zq9je1hz6m,Lagu yg mengabarkan betapa rindunya diriku pada kekasihku Rosulullahhualaihi wassalam😭,2023-12-01T00:19:07Z
@delimaindahsari5078,serindu inikah kita kepada rasullulah 😢😢😢,2023-11-30T13:02:10Z
@toniwijaya6743,kok sedih😊 dengerinnya yah kek keingat sesuatu 😢😢,2023-11-30T06:37:01Z
@nurulkhairiah8297,"Seandainya engkau disini, ingin ku luapkan semua, ya baginda Nabi Muhammad Salallahu alaihi wassalam",2023-11-30T04:04:26Z
@rosyitaazzahra5664,Ya Rasulullah Ya Habiballah Akan kujaga hatiku untukMu Ya Rasulullah dan terus kupanjatkan Sholawat untukMu Ya Rasulullah❤Allahumma sholli Ala Sayyidina Muhammad❤❤❤Pertemukan Diriku dengan Dirinya Ya Robb😭😭🤲🤲❤❤❤,2023-11-30T01:26:52Z
@mhmmdrfnmln_,"Tau lagu ini dr fyp tiktok, vibenya ldr an sama Nabi Muhammad SAW 🥹",2023-11-30T00:27:18Z
@ErwinDulmin-tw5th,MY WIFE...... MAMI..... NIKE ARDILLA.... MAHATMA GANDHI..... MAHATMA ERWIN DULMIN......,2023-11-29T18:26:49Z
@ErwinDulmin-tw5th,MY WIFE...... MAMI..... TIARA ANDINI.... MAHATMA GANDHI..... MAHATMA ERWIN DULMIN......,2023-11-29T18:26:09Z
@gakuh3h326,Rindu Rasulullah SAW...,2023-11-29T16:14:04Z
@dhantashine,favorittttt,2023-11-29T14:39:44Z
@user-qf7su6yn1f,Semoga kita gak selalu galau yaaa🎉,2023-11-29T09:54:33Z
@ventusbagus4625,Janji setia hanyalah janji Allah dan rasulnya,2023-11-29T05:11:13Z
@IsannFajarr,Nyesek banget bagian setelah bridge KITAAAA HUWOAAOOOO MERINDUKAN HADIRMU ADA DISINI :),2023-11-28T17:05:43Z
@Vinzedit21,Keinget nabi Muhammad Saw 🥺,2023-11-28T15:36:39Z
@hydraproxima2319,Ya Rasulullah❤,2023-11-28T02:10:30Z
@abimanyuchanel,"Suka lagu ini gr2 dijadiin backsound cerita Rasulullah nabi Muhammad SAW ditiktok,pas bgt aja gitu aja rasanya",2023-11-28T01:01:49Z
@frengkyaditya2510,Setiap dengar lagu ini ingat kisah rasulullah😢,2023-11-27T20:56:46Z
@lovinsel99,Kangen Rasullullah malah jdnya 😢,2023-11-27T13:02:09Z
@alvian6666,Kisah Rasulullah dan para sahabat+ janji setia ❤,2023-11-26T12:08:21Z
@NanaAgustina179,GAS 60JT MOOOO❤❤❤,2023-11-26T11:50:52Z
@EnjangMaulana-zg1tf,Keren banget lagunya cocok buat yang lagi galau,2023-11-26T10:29:03Z
@egiraja,@thaniauna,2023-11-26T07:17:44Z
@thaniauna1252,fav song banget,2023-11-26T07:15:08Z
@arlindayinta5371,Kangen banget boleh ga si ti?🥺,2023-11-26T00:32:21Z
@jefi.chemistry,"Kesini karena tiktok, TOP dan pas banget",2023-11-25T08:12:49Z
@doni.hdyt.,playlist wajib kalo ujan ❤,2023-11-25T06:21:50Z
@eikomarmut9754,Andai saja Ku bisa genggam tanganmu takkan ada kata rindu di dalam hatiku ❤,2023-11-25T03:04:37Z
@peserta_prayogategarfirdau4424,denger lagu ini bener bener inget kisah nabi muhammad SAW di tiktok sering make lagu ini nih tentang kisah kisah beliau,2023-11-25T00:14:07Z
@muhammadputra5164,we love tiara andiniiii😊,2023-11-24T13:26:30Z
@Gcmumy,Ingat kisah Rasulullah SAW dan para sahabat dengar lagu ini🖤🖤,2023-11-24T07:36:27Z
@BRYFRHN,❤,2023-11-24T05:44:03Z
@roniandri5455,"Haii tiara. Sesuka ini aku sama lagu kamu. Semua berawal dari niat ku untuk hijrah. 
Dan percaya gak. Tiap buka tiktok fyp ku lagu kamu yg sebagai backsound ny. Pokoknya semua tentang nabi Muhammad SAW, dan Rabb ny. 
Se cinta itu aku , se rindu itu.. 
Tiap iman aku turun, pas lagu kamu lewat lagi. Aku nangiss nagiss senangis nagisnya. Aku hanya ingin Allah tidak memalingkan wajahnya padaku. 
Semoga aku bisa mendapatkan syafaat Rasulullah SAW.. Aamiin 💐💐

Semoga aku bisa menjaga hatiku, menjaga imanku, hingga nanti..",2023-11-23T23:07:45Z
@marieanneosoga1748,❤I really love this. I heard it just now on TikTok ❤. And came to YouTube to listen the full song . Thanks for this,2023-11-23T15:53:37Z
@MikanyaAbish,"59.278.254 x ditonton (22;04) wib
23""11""2023
596 rb like
89 rb komen
2,44 JT subscriber",2023-11-23T15:07:25Z
@kusumayudha6072,qndrta😢,2023-11-23T06:15:18Z
@ulfamayamulyasari,Udah gue puter 1000 kali,2023-11-22T09:52:04Z
@vithasarry7801,Pindah batam,2023-11-22T09:21:22Z
@antonpkl5854,Sering dijadikan sound cerita Rasullulah,2023-11-21T13:52:08Z
@ventusbagus4625,"Ingat pacar ❎
Ingat Rasulullah ✅",2023-11-21T06:00:42Z
@pahmi3201,Dulu cuma enak dengar lagu ny tpi sekrng jdi kisah saya,2023-11-21T03:22:30Z
@AyuFitri2410,"dengerin lagu ini inget ayang❌️❌️❌️
dengerin lagu ini inget ayah✅️✅️✅️
alias nangis bngt😭🙏",2023-11-20T14:16:04Z
@MikanyaAbish,"Penambahan view hari ini 18_19 November 2023
*Usai 121 469*
Janji setia 49.180
Cintanya aku 52.941
Tega MV 32.140
LV merin 20.217
Mendi LV 15.796
Flipitup MV 14.356
Tega LV 11.803
MATM MV 10.281
Mein MV .722
Bahaya MV 8.077",2023-11-19T20:18:45Z
@dedearian58,Lagu ini inget Rasulullah 😭😭,2023-11-19T06:45:25Z
@alfianasaputri8562,Ko aku nyesek ya liat vidio klip inii🥺🥺🥺😢😢😭😭😭,2023-11-19T06:10:38Z
@user-tj3te4wy9m,"Pas denger reeff lagu'nya lgsng ke inget Rasullullah Saw, karna di tiktok bnyk cerita"" Rasulullah dan sahabat"",  menggunakan lagu ini. Sukses selalu kak titi😊🙏",2023-11-19T04:44:00Z
@alwanmakarim2963,Happy 59 juta moo🎉,2023-11-19T04:28:42Z
@sitifatonah3547,Jadi sebel sama alshad :D titi udah baik2 malah ga jujur dari awal..,2023-11-19T02:54:27Z
@bayukreshna8612,"Lagu ini untuk seorang yg sedang mempunyai pasangan, jangan samakan lagu sperti ini d bawa ke ranah Agama, krna lagu untuk Agama itu sangat sakral, jdi jangan samakan lagu duniawi d hubungkan dengan Yang Kuasa",2023-11-19T02:52:50Z
@purdebay,"Seperti Korea gt,lagunya menyentuh ❤ sekarang lagi ingin dengar ini walaupun lagunya 1 tahun yg lalu, suaranya bagus dan selalu suka sukses selalu untuk kk cantik penyanyi yg menyentuh hati",2023-11-19T02:30:21Z
@anitawulandari4262,Pas belom tau tiara yg nanyi liat sound track di FB kirain Raisa yg nyanyii❤,2023-11-19T01:40:51Z
@ellinellin5475,"Bismillah
201 lg menuju 59jt",2023-11-18T18:11:55Z
@alwanmakarim2963,59 jeti didepan mata moo,2023-11-18T15:38:07Z
@tyassooo,Gaskan malam nih 59 juta,2023-11-18T14:14:40Z
@wulan191,"Jadi lagu favoritku, love titi.",2023-11-18T02:47:06Z
@arintaqa3949,Selalu ingat rasulullah klo dgr lagu ini😢,2023-11-17T02:41:33Z
@ikhierukanda9917,Rindu Rasullullah klo denger lagu janji setia 😢,2023-11-17T01:29:16Z
@mohdaiman9734,Merindukan hadirmu :'(,2023-11-16T22:42:03Z
@NapisaSitinafisabintial-yp5ug,"Lagunya jadi fav aku, suaranya halus balik2 fyp dekat tiktok cari laguu full nyaa ,, sedap didengar auto minat dengan penyanyi nya",2023-11-16T12:36:40Z
@mhmdikrom,"lagu yang gua puterin setiap malam kalau gua kangen sama seseorang yang udah  3 tahun gua pendem rasa suka gua ke dia, tapi baru ini gua komen lagunya di yt, makasih kak tiara udah ngebuat lagu ini jadi lagu indah dengan suara kakak, berkat lagu ini aku bisa nenangin diri ku saat rindu itu menyiksaku di setiap malamku:)",2023-11-16T05:57:53Z
@user-lp1jk8qn7z,"""aku disini menanti mu kembali""",2023-11-16T05:54:09Z
@tyassooo,"58.852.144 viewers 

Jam 12:20",2023-11-16T05:20:05Z
@rizkyfidiansyah2768,Gas 59 jt sambil up lagu flip IT up moo,2023-11-15T23:47:37Z
@itzmegojo_4109,02:32,2023-11-13T05:46:11Z
@MikanyaAbish,"Penambahan view hari ini   51.902
Kemarin   54.061",2023-11-13T00:12:23Z
@muzadamishqui9750,Lagu ini bakal longlast..,2023-11-12T15:01:09Z
@revanzencr7,Ke sini gara aot,2023-11-12T06:59:27Z
@rendyrezaa,"Lagu fav aku :( , jadi inget diaa .. always aku gatau bisa lupa atau gaa ke dia",2023-11-12T01:42:30Z
@Reloudy,Gwa tiap dmgar ini lagu nngis,2023-11-11T08:47:43Z
@Gygype,Kangen couple ini,2023-11-10T13:11:47Z
@faisalakbarharumianto816,"Ade kecil ini, pinter kali buat Lagu nyesek😢",2023-11-10T11:20:23Z
@user-lr1ql1yf7e,titi hari ini dia kembali ti,2023-11-10T11:17:10Z
@RivaAdo,Denger lagu tiara jadi rindu sama rasulullah 😢,2023-11-10T09:26:16Z
@diansyafitri2831,Gara2 tiktok lagu ini kayak kena bngt gt dibayanganku sosok kekasih Allah Swt yaitu Nabi besar Muhammad Saw😭,2023-11-09T09:40:00Z
@Snailprinces,tiii hari ini aku usai tiiiii😭,2023-11-09T08:02:26Z
@tyassooo,Janji setia + tentang Rasullullah ❤,2023-11-09T03:41:08Z
@MikanyaAbish,"Penambahan view hari ini 7_8 November ""23
Usai  132.254
Janji setia 67.858
Cintanya aku 59.041
Tega MV 42.925
Merin VL 27.687
Mendi MV 23.725
Flipitup mv 21.226
Tega LV 18.693
Merin LV 13.273
MATM MV  12.490
Bahaya MV 11.574
*Gas terus moo semangat!!!!*",2023-11-08T20:50:56Z
@arrohmanbagas5765,"Dia ada
Dia nyata",2023-11-08T14:52:05Z
@rizkynurruddin2797,terimakasih kak tiara... berkat lagu ini berhasil bikin aku selalu nangis rindu Baginda Nabi Muhammad SAW🥺,2023-11-08T14:20:23Z
@dilah3444,Salfok sana kak alshad,2023-11-08T09:51:25Z
@gamblinggaming5635,kesini gegara fyp kisah rosul,2023-11-08T06:30:50Z
@ahversie7164,Allahumma s.a muhammad 🙏,2023-11-07T23:19:14Z
@estycubby1398,"Kenapa kalo denger lagu ini pasti nangis, ke inget mereka yg di palestina, betapa rindu mereka kepada orang"" yg mereka sayangi, keluarga anak orang tua mereka, ya allah semoga lekas berbahagia untuk mereka..",2023-11-07T22:49:16Z
@user-iv6hy3tz6n,"Makasih udah nyiptain lagu ini, pas banget didengerin sambil baca kisah nabi dan sahabatnya",2023-11-07T12:22:40Z
@Dickkyynt,Bkin gamonn bngtt,2023-11-07T10:34:02Z
@yeskiahmatondang2907,"Setia aja ga cukup yaa..
Memang harus itu jalan yang kau pilih, meski kumemilih untuk tetap setia🙂",2023-11-06T14:00:44Z
@akmalshafiq4087,"Kini aku mengerti, semua ini terjadi
Tak dipungkiri, hanya kamu yang kumiliki
Bumi di kala sunyi, kamu takkan sendiri
Aku di sini menantimu kembali
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku, oh-oh
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus (janganlah kauhapus)
Janji setia menjaga hati
Hujan turun mewakili hati
Terpa angin gambarkan resahku, ho-oh
Namun, kini pelangi (dan kini pelangi)
Datang menyinari kita
ho-oh
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Merindukan hadirmu ada di sini?
Percayalah, oh, Kasihku
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati",2023-11-06T04:52:46Z
@alsheffa6982,"jnji setia + crtia tntng Rasullullah dn shabat
masyaallah PERFECT COMBO",2023-11-05T10:35:28Z
@GwKartagoh-vm2rg,Masya Allah saya dengerin lagu ini disini karena liat kisah kisah Rasulullah yang pakai lagu ini. Indah sekali,2023-11-05T06:57:32Z
@slottergorS138,🆂🅻🅾🆃138 SITUS TERGACOR,2023-11-05T03:50:35Z
@irmamahmud9873,Sering lewat VT cerita Nabi Muhammad pake lagu ini. jadi kalo dengar lagu ini langsung ingat Kisah Nabi Muhammad :'),2023-11-05T00:14:11Z
@irmamahmud9873,Sering lewat VT cerita Nabi Muhammad pake lagu ini. jadi kalo dengar lagu ini langsung ingat Kisah Nabi Muhammad :'),2023-11-05T00:14:02Z
@FairyRenjun,"""ketika seorang seniman jatuh cinta, maka orang yang dicintainya abadi dalam karyanya""",2023-11-04T10:15:22Z
@hemat_energi,dengerin ini malah ingetnya baginda Rasulullah SAW,2023-11-04T04:44:56Z
@fahmichanel3857,yang teringat bukan kekasih tp Rasulullah,2023-11-04T04:39:06Z
@anwarfndi8543,"Tiara Andini lbh cocok dgn cowok yg lbh tggi dari dy, karena dari ukuran cewek Tiara Andini ini udh termasuk tinggi, sgt di sayangkan klu dy terus dgn Alshad Ahmad yg udh jelas pendek. Hehehe,,,
That's my opinion",2023-11-03T14:32:21Z
@ariprahman3925,"Alhamdulillah 58 juta views, thx Mootiara, thx para pendengar setia Tiara Andini, keep support, keep solid and keep streaming 🙏🙂",2023-11-03T04:35:00Z
@dillnutz4658,2.46 😢❤,2023-11-02T23:23:53Z
@NanaAgustina179,Happy 58 jt,2023-11-02T14:39:18Z
@MikanyaAbish,603 menuju 58 JT dorong lgi moo,2023-11-02T13:54:51Z
@NadiraAmandanisa,"lagu ini yg selalu aku nyanyiin kedia kalau aku kgn bgt:(, bahkan lg lost kontak demger lagu ini selalu nangis:(, doaim ya temen2 semoga dja hubungi aku lagi dalam waktu dekat😢",2023-11-02T12:38:17Z
@mbcvieca809,Kangen bgt sama pasangan berdua ini,2023-11-02T08:08:25Z
@MikanyaAbish,Nrar malem gol 58 jt ini,2023-11-02T00:44:37Z
@hjjj4692,Kukira lagu ternyata kisahku,2023-11-01T13:49:22Z
@Tasyaa333,"Apakah kamu setia menunggu ku? Atau kau sudah mempunyai pasangan yang lebih baik, disana? ')",2023-11-01T13:03:52Z
@nadhirazahra9847,"Aku rindu dia , walaupun belum pernah bertemu dengan nya ,dan sekarang dia syahid akibat serangan zionis 😢😢😢",2023-11-01T09:39:51Z
@eghavaldinis1943,Kapan tiara dan alshad bersatu di pelaminan yah,2023-11-01T05:57:50Z
@aestheticvibe-sf7ng,"lagu ini harus bisa sampek 100jt view sih,ngena bngt lagunyaaa",2023-10-30T22:41:39Z
@emaknyadlyrics3110,"31 Oktober...
Maksimalkan hari terakhir vote MTV EMA yuk !! 
Gass terus boom vote nya tiap 10 detik moo 🔥🔥🔥
Jgn nyesel belakangan.
Kita bikin Indonesia bangga punya Tiara...",2023-10-30T22:06:30Z
@udaisex649,ceramah + janji setia = mntap bett,2023-10-30T18:37:05Z
@danun3715,"Gua kesini karena liat vt kisah Nabi Muhammad pake lagu ini, nangis woi",2023-10-30T03:27:52Z
@alamiratalearabia,Kalo denger reffnya pasti inget kisah kisah Nabi Muhammad dan Para Sahabat Beliau yg biasa ada di tiktok yg selalu bikin nangis🥲,2023-10-30T02:08:36Z
@nurshira154,Rindu kepada orang tua,2023-10-30T00:26:33Z
@teukusulthan6521,"Tiara udah ngerilis banyak bgt lagu, tapi Janji Setia masih jadi pemenang nya buat gw :')",2023-10-29T17:12:29Z
@dordordorindonesian6783,"Awal rilis lagu ini B aja, tapi kok sekarang A++++++++ ya?",2023-10-29T06:19:58Z
@MeyMey-jr8jo,❤,2023-10-29T02:52:54Z
@kartikaputri6985,related ma keadaan:),2023-10-28T17:20:56Z
@Dilla-qk5zk,❤❤❤,2023-10-28T14:40:35Z
@rfirdous2770,Dikira lagu raisa baru ngeh lagu tiara ya allah kemana aja aku bener bener mirip banget suaranya😊 enakeun lembut pool syuka,2023-10-28T09:39:57Z
@samsungtvkami4752,Apa jadi pada mereka berdua ya?,2023-10-28T08:46:48Z
@LisaSafitri-mi2eo,Jarak dan waktu tak mampu menghapus..,2023-10-28T05:24:22Z
@sintiarahma1039,sintia,2023-10-28T03:07:26Z
@monicaagustono5219,suara ny mirip Raisa,2023-10-28T03:02:47Z
@zahgame64,Ceramah + janji setia,2023-10-28T00:16:36Z
@rizkyfidiansyah2768,Gas 58 jt sambil up lagu flip IT up moo,2023-10-28T00:05:58Z
@arahmadi2732,Yang dekat akan mengalahkan yang jauh dan yang selalu ada akan terlupakan selamanya-,2023-10-27T20:05:41Z
@barazal2758,"dari pada cape mikirin yg telah berlalu, mending cape mikirin yg harus dilakuin sekarang",2023-10-27T14:16:32Z
@dymasardy5488,Lagu ini bakal jadi lagu yg memorable sampai kapan pun itu,2023-10-27T11:20:05Z
@NanaAgustina179,Gas 58  jt mo❤,2023-10-26T18:54:31Z
@mayasari-yq2zi,YaAllah ke ingat pembantaian husein dikarbala😭,2023-10-26T08:39:27Z
@user-om2sv6pi7g,I promise you forever with me(MFT❤)🙏🙏🙏,2023-10-26T00:47:15Z
@cheerup9579,"Suka lagu ini karena sering dijadiin cerita rasul di tiktok, jadi terngiang2❤",2023-10-26T00:27:02Z
@nuelkatipana3471,Sad,2023-10-25T20:31:00Z
@tyassooo,Streaming nya jnagan sampe kendor + jangan lupa ya vote trs mtvema nya,2023-10-25T14:02:50Z
@pramudhyodhyo1568,"Rasulullah SAW  kami rindu kpd mu, akan tiba waktu ny amal ibadah akan di hisap begitu menakutkan ny alam kubur nanti",2023-10-25T00:10:05Z
@raniseptiana6456,Gara² di tiktok gw nyasar jga kesini,2023-10-24T14:28:17Z
@aditfx5505,Suara plak plak ganggu lah,2023-10-24T12:42:42Z
@Vimbyanti,"Ke sini Karna kangen Tishad,🥺❤",2023-10-24T07:05:41Z
@user-vf9ik4fg1m,ROMANTIK SONGS,2023-10-24T01:02:34Z
@triaseidapratiwi3548,Kangen Tiiiii,2023-10-23T14:46:27Z
@capricornbintangku4444,JANJI NAON,2023-10-23T10:36:29Z
@drtawan350,Dan semua nya hanya sebatas kenagan…,2023-10-23T03:11:59Z
@user-to9de5vq7c,"Andai saja ku bisa genggam tanganmu, takkan ada kata rindu didalam hatiku 😢",2023-10-23T01:46:55Z
@mohdaiman9734,Dengar laguu nii mesti teringat kisah2 Rasulullah 😭😭,2023-10-21T06:33:04Z
@akagami4266,mereka gk munkin pisah karna udah janji setia meskipun punya masalah di masalalu 😁,2023-10-20T15:24:09Z
@subagyosubagyo4422,Dengar lagu ini semakin rindu Rasulullah 😭,2023-10-20T06:30:37Z
@Yacen.81_84,Happy 57 jt ❤,2023-10-20T05:01:45Z
@aniesnawadir7353,Love banget Titi emang paling terbaik,2023-10-19T15:34:39Z
@denandaaprilia8676,Lagu yang selalu buat ak rindu sma kedua orangtuaku yang sudah tiada 🥲,2023-10-19T07:30:09Z
@denandaaprilia8676,My fav song 🎉❤,2023-10-19T07:26:20Z
@skymaple7565,"Tidak terasa saya dengar lagunya teh Tiara yg ini sudah setahun, tapi masih enakeun si. Wk",2023-10-19T06:48:29Z
@MikanyaAbish,"Congratulations  utk 57 JT MV janset Masya Allah penambahan viewnya jg masih lumayan kenceng 80_90 rban/24 jamnya
Gas moo ini adl MV kedua Titi yg udah tembus 50 JT dan otw 60 JT skg bismillah bisa tembus 100 JT nantinya amin",2023-10-19T02:56:12Z
@dafidalwi2325,Your the best Tiara Andini.,2023-10-18T07:29:30Z
